concept,category,question,label,predicted,correct
apple,food,Is an apple a food? Answer only in yes or no.,Yes,yes,True
apple,part of car,Is an apple a part of car? Answer only in yes or no.,No,yes,False
apple,fruit,Is an apple a fruit? Answer only in yes or no.,Yes,yes,True
apple,lighting,Is an apple a lighting? Answer only in yes or no.,No,yes,False
apple_tree,plant,Is an apple tree a plant? Answer only in yes or no.,Yes,yes,True
apple_tree,office supply,Is an apple tree an office supply? Answer only in yes or no.,No,yes,False
apron,protective clothing,Is an apron a protective clothing? Answer only in yes or no.,Yes,yes,True
apron,dessert,Is an apron a dessert? Answer only in yes or no.,No,yes,False
apron,clothing,Is an apron a clothing? Answer only in yes or no.,Yes,yes,True
apron,drink,Is an apron a drink? Answer only in yes or no.,No,yes,False
apron,outerwear,Is an apron an outerwear? Answer only in yes or no.,Yes,yes,True
apron,game,Is an apron a game? Answer only in yes or no.,No,yes,False
arm,body part,Is an arm a body part? Answer only in yes or no.,Yes,yes,True
arm,dessert,Is an arm a dessert? Answer only in yes or no.,No,yes,False
arrow,weapon,Is an arrow a weapon? Answer only in yes or no.,Yes,yes,True
arrow,furniture,Is an arrow a furniture? Answer only in yes or no.,No,yes,False
artichoke,food,Is an artichoke a food? Answer only in yes or no.,Yes,yes,True
artichoke,hardware,Is an artichoke a hardware? Answer only in yes or no.,No,yes,False
artichoke,vegetable,Is an artichoke a vegetable? Answer only in yes or no.,Yes,yes,True
artichoke,women's clothing,Is an artichoke a women's clothing? Answer only in yes or no.,No,yes,False
artichoke,plant,Is an artichoke a plant? Answer only in yes or no.,Yes,yes,True
artichoke,watercraft,Is an artichoke a watercraft? Answer only in yes or no.,No,yes,False
arugula,food,Is an arugula a food? Answer only in yes or no.,Yes,yes,True
arugula,medical equipment,Is an arugula a medical equipment? Answer only in yes or no.,No,yes,False
arugula,vegetable,Is an arugula a vegetable? Answer only in yes or no.,Yes,yes,True
arugula,drink,Is an arugula a drink? Answer only in yes or no.,No,yes,False
arugula,plant,Is an arugula a plant? Answer only in yes or no.,Yes,yes,True
arugula,bird,Is an arugula a bird? Answer only in yes or no.,No,yes,False
ashtray,container,Is an ashtray a container? Answer only in yes or no.,Yes,yes,True
ashtray,arts and crafts supply,Is an ashtray an arts and crafts supply? Answer only in yes or no.,No,yes,False
asparagus,food,Is an asparagus a food? Answer only in yes or no.,Yes,yes,True
asparagus,lighting,Is an asparagus a lighting? Answer only in yes or no.,No,yes,False
asparagus,vegetable,Is an asparagus a vegetable? Answer only in yes or no.,Yes,yes,True
asparagus,furniture,Is an asparagus a furniture? Answer only in yes or no.,No,yes,False
asparagus,plant,Is an asparagus a plant? Answer only in yes or no.,Yes,yes,True
asparagus,jewelry,Is an asparagus a jewelry? Answer only in yes or no.,No,yes,False
avocado,food,Is an avocado a food? Answer only in yes or no.,Yes,yes,True
avocado,insect,Is an avocado an insect? Answer only in yes or no.,No,yes,False
avocado,fruit,Is an avocado a fruit? Answer only in yes or no.,Yes,yes,True
avocado,home decor,Is an avocado a home decor? Answer only in yes or no.,No,yes,False
axe,tool,Is an axe a tool? Answer only in yes or no.,Yes,yes,True
axe,kitchen appliance,Is an axe a kitchen appliance? Answer only in yes or no.,No,yes,False
axe,hardware,Is an axe a hardware? Answer only in yes or no.,Yes,yes,True
axe,headwear,Is an axe a headwear? Answer only in yes or no.,No,yes,False
axe,garden tool,Is an axe a garden tool? Answer only in yes or no.,Yes,yes,True
axe,footwear,Is an axe a footwear? Answer only in yes or no.,No,yes,False
axe,weapon,Is an axe a weapon? Answer only in yes or no.,Yes,yes,True
axe,musical instrument,Is an axe a musical instrument? Answer only in yes or no.,No,yes,False
backpack,school supply,Is a backpack a school supply? Answer only in yes or no.,Yes,yes,True
backpack,construction equipment,Is a backpack a construction equipment? Answer only in yes or no.,No,yes,False
backpack,container,Is a backpack a container? Answer only in yes or no.,Yes,yes,True
backpack,game,Is a backpack a game? Answer only in yes or no.,No,yes,False
backscratcher,tool,Is a backscratcher a tool? Answer only in yes or no.,Yes,yes,True
backscratcher,sports equipment,Is a backscratcher a sports equipment? Answer only in yes or no.,No,yes,False
badger,mammal,Is a badger a mammal? Answer only in yes or no.,Yes,yes,True
badger,sports equipment,Is a badger a sports equipment? Answer only in yes or no.,No,yes,False
badger,animal,Is a badger an animal? Answer only in yes or no.,Yes,yes,True
badger,kitchen tool,Is a badger a kitchen tool? Answer only in yes or no.,No,yes,False
bag,container,Is a bag a container? Answer only in yes or no.,Yes,yes,True
bag,clothing accessory,Is a bag a clothing accessory? Answer only in yes or no.,No,yes,False
bagel,food,Is a bagel a food? Answer only in yes or no.,Yes,yes,True
bagel,clothing accessory,Is a bagel a clothing accessory? Answer only in yes or no.,No,yes,False
bagel,breakfast food,Is a bagel a breakfast food? Answer only in yes or no.,Yes,yes,True
bagel,sea animal,Is a bagel a sea animal? Answer only in yes or no.,No,yes,False
bagpipe,musical instrument,Is a bagpipe a musical instrument? Answer only in yes or no.,Yes,yes,True
bagpipe,vehicle,Is a bagpipe a vehicle? Answer only in yes or no.,No,yes,False
baklava,food,Is a baklava a food? Answer only in yes or no.,Yes,yes,True
baklava,toy,Is a baklava a toy? Answer only in yes or no.,No,yes,False
baklava,dessert,Is a baklava a dessert? Answer only in yes or no.,Yes,yes,True
baklava,outerwear,Is a baklava an outerwear? Answer only in yes or no.,No,yes,False
ball,toy,Is a ball a toy? Answer only in yes or no.,Yes,yes,True
ball,bird,Is a ball a bird? Answer only in yes or no.,No,yes,False
ball,sports equipment,Is a ball a sports equipment? Answer only in yes or no.,Yes,yes,True
ball,musical instrument,Is a ball a musical instrument? Answer only in yes or no.,No,yes,False
balloon,toy,Is a balloon a toy? Answer only in yes or no.,Yes,yes,True
balloon,medical equipment,Is a balloon a medical equipment? Answer only in yes or no.,No,yes,False
ballot_box,container,Is a ballot box a container? Answer only in yes or no.,Yes,yes,True
ballot_box,electronic device,Is a ballot box an electronic device? Answer only in yes or no.,No,yes,False
bamboo,plant,Is a bamboo a plant? Answer only in yes or no.,Yes,yes,True
bamboo,animal,Is a bamboo an animal? Answer only in yes or no.,No,yes,False
banana,food,Is a banana a food? Answer only in yes or no.,Yes,yes,True
banana,sports equipment,Is a banana a sports equipment? Answer only in yes or no.,No,yes,False
banana,fruit,Is a banana a fruit? Answer only in yes or no.,Yes,yes,True
banana,kitchen tool,Is a banana a kitchen tool? Answer only in yes or no.,No,yes,False
banana_split,food,Is a banana split a food? Answer only in yes or no.,Yes,yes,True
banana_split,fruit,Is a banana split a fruit? Answer only in yes or no.,No,yes,False
banana_split,dessert,Is a banana split a dessert? Answer only in yes or no.,Yes,yes,True
banana_split,clothing accessory,Is a banana split a clothing accessory? Answer only in yes or no.,No,yes,False
bandage,medical equipment,Is a bandage a medical equipment? Answer only in yes or no.,Yes,yes,True
bandage,headwear,Is a bandage a headwear? Answer only in yes or no.,No,yes,False
bandanna,headwear,Is a bandanna a headwear? Answer only in yes or no.,Yes,yes,True
bandanna,watercraft,Is a bandanna a watercraft? Answer only in yes or no.,No,yes,False
bandanna,clothing accessory,Is a bandanna a clothing accessory? Answer only in yes or no.,Yes,yes,True
bandanna,weapon,Is a bandanna a weapon? Answer only in yes or no.,No,yes,False
bandanna,clothing,Is a bandanna a clothing? Answer only in yes or no.,Yes,yes,True
bandanna,vehicle,Is a bandanna a vehicle? Answer only in yes or no.,No,yes,False
banjo,musical instrument,Is a banjo a musical instrument? Answer only in yes or no.,Yes,yes,True
banjo,breakfast food,Is a banjo a breakfast food? Answer only in yes or no.,No,yes,False
barbell,sports equipment,Is a barbell a sports equipment? Answer only in yes or no.,Yes,yes,True
barbell,hardware,Is a barbell a hardware? Answer only in yes or no.,No,yes,False
barnacle,animal,Is a barnacle an animal? Answer only in yes or no.,Yes,yes,True
barnacle,footwear,Is a barnacle a footwear? Answer only in yes or no.,No,yes,False
barnacle,sea animal,Is a barnacle a sea animal? Answer only in yes or no.,Yes,yes,True
barnacle,fastener,Is a barnacle a fastener? Answer only in yes or no.,No,yes,False
barrel,container,Is a barrel a container? Answer only in yes or no.,Yes,yes,True
barrel,sports equipment,Is a barrel a sports equipment? Answer only in yes or no.,No,yes,False
barrette,jewelry,Is a barrette a jewelry? Answer only in yes or no.,Yes,yes,True
barrette,kitchen tool,Is a barrette a kitchen tool? Answer only in yes or no.,No,yes,False
barrette,fastener,Is a barrette a fastener? Answer only in yes or no.,Yes,yes,True
barrette,garden tool,Is a barrette a garden tool? Answer only in yes or no.,No,yes,False
baseball,sports equipment,Is a baseball a sports equipment? Answer only in yes or no.,Yes,yes,True
baseball,dessert,Is a baseball a dessert? Answer only in yes or no.,No,yes,False
baseball_bat,sports equipment,Is a baseball bat a sports equipment? Answer only in yes or no.,Yes,yes,True
baseball_bat,dessert,Is a baseball bat a dessert? Answer only in yes or no.,No,yes,False
baseball_bat,weapon,Is a baseball bat a weapon? Answer only in yes or no.,Yes,yes,True
baseball_bat,fastener,Is a baseball bat a fastener? Answer only in yes or no.,No,yes,False
baseball_glove,sports equipment,Is a baseball glove a sports equipment? Answer only in yes or no.,Yes,yes,True
baseball_glove,vegetable,Is a baseball glove a vegetable? Answer only in yes or no.,No,yes,False
basket,container,Is a basket a container? Answer only in yes or no.,Yes,yes,True
basket,home appliance,Is a basket a home appliance? Answer only in yes or no.,No,yes,False
basketball,sports equipment,Is a basketball a sports equipment? Answer only in yes or no.,Yes,yes,True
basketball,lighting,Is a basketball a lighting? Answer only in yes or no.,No,yes,False
basketball_hoop,sports equipment,Is a basketball hoop a sports equipment? Answer only in yes or no.,Yes,yes,True
basketball_hoop,scientific equipment,Is a basketball hoop a scientific equipment? Answer only in yes or no.,No,yes,False
bassinet,furniture,Is a bassinet a furniture? Answer only in yes or no.,Yes,yes,True
bassinet,arts and crafts supply,Is a bassinet an arts and crafts supply? Answer only in yes or no.,No,yes,False
bassoon,musical instrument,Is a bassoon a musical instrument? Answer only in yes or no.,Yes,yes,True
bassoon,medical equipment,Is a bassoon a medical equipment? Answer only in yes or no.,No,yes,False
bathrobe,clothing,Is a bathrobe a clothing? Answer only in yes or no.,Yes,yes,True
bathrobe,medical equipment,Is a bathrobe a medical equipment? Answer only in yes or no.,No,yes,False
bathtub,container,Is a bathtub a container? Answer only in yes or no.,Yes,yes,True
bathtub,musical instrument,Is a bathtub a musical instrument? Answer only in yes or no.,No,yes,False
baton2,weapon,Is a baton2 a weapon? Answer only in yes or no.,Yes,yes,True
baton2,school supply,Is a baton2 a school supply? Answer only in yes or no.,No,yes,False
baton3,sports equipment,Is a baton3 a sports equipment? Answer only in yes or no.,Yes,yes,True
baton3,breakfast food,Is a baton3 a breakfast food? Answer only in yes or no.,No,yes,False
baton4,sports equipment,Is a baton4 a sports equipment? Answer only in yes or no.,Yes,yes,True
baton4,game,Is a baton4 a game? Answer only in yes or no.,No,yes,False
batter,food,Is a batter a food? Answer only in yes or no.,Yes,yes,True
batter,weapon,Is a batter a weapon? Answer only in yes or no.,No,yes,False
bazooka,weapon,Is a bazooka a weapon? Answer only in yes or no.,Yes,yes,True
bazooka,school supply,Is a bazooka a school supply? Answer only in yes or no.,No,yes,False
beachball,toy,Is a beachball a toy? Answer only in yes or no.,Yes,yes,True
beachball,electronic device,Is a beachball an electronic device? Answer only in yes or no.,No,yes,False
beachball,sports equipment,Is a beachball a sports equipment? Answer only in yes or no.,Yes,yes,True
beachball,candy,Is a beachball a candy? Answer only in yes or no.,No,yes,False
bead,arts and crafts supply,Is a bead an arts and crafts supply? Answer only in yes or no.,Yes,yes,True
bead,body part,Is a bead a body part? Answer only in yes or no.,No,yes,False
beaker,scientific equipment,Is a beaker a scientific equipment? Answer only in yes or no.,Yes,yes,True
beaker,candy,Is a beaker a candy? Answer only in yes or no.,No,yes,False
beaker,container,Is a beaker a container? Answer only in yes or no.,Yes,yes,True
beaker,footwear,Is a beaker a footwear? Answer only in yes or no.,No,yes,False
beanbag,furniture,Is a beanbag a furniture? Answer only in yes or no.,Yes,yes,True
beanbag,jewelry,Is a beanbag a jewelry? Answer only in yes or no.,No,yes,False
beanie,headwear,Is a beanie a headwear? Answer only in yes or no.,Yes,yes,True
beanie,furniture,Is a beanie a furniture? Answer only in yes or no.,No,yes,False
beanie,clothing,Is a beanie a clothing? Answer only in yes or no.,Yes,yes,True
beanie,dessert,Is a beanie a dessert? Answer only in yes or no.,No,yes,False
bear,mammal,Is a bear a mammal? Answer only in yes or no.,Yes,yes,True
bear,home appliance,Is a bear a home appliance? Answer only in yes or no.,No,yes,False
bear,animal,Is a bear an animal? Answer only in yes or no.,Yes,yes,True
bear,candy,Is a bear a candy? Answer only in yes or no.,No,yes,False
beaver,mammal,Is a beaver a mammal? Answer only in yes or no.,Yes,yes,True
beaver,personal hygiene item,Is a beaver a personal hygiene item? Answer only in yes or no.,No,yes,False
beaver,animal,Is a beaver an animal? Answer only in yes or no.,Yes,yes,True
beaver,safety equipment,Is a beaver a safety equipment? Answer only in yes or no.,No,yes,False
bed,furniture,Is a bed a furniture? Answer only in yes or no.,Yes,yes,True
bed,outerwear,Is a bed an outerwear? Answer only in yes or no.,No,yes,False
bedpan,medical equipment,Is a bedpan a medical equipment? Answer only in yes or no.,Yes,yes,True
bedpan,toy,Is a bedpan a toy? Answer only in yes or no.,No,yes,False
bedpan,container,Is a bedpan a container? Answer only in yes or no.,Yes,yes,True
bedpan,school supply,Is a bedpan a school supply? Answer only in yes or no.,No,yes,False
bee,insect,Is a bee an insect? Answer only in yes or no.,Yes,yes,True
bee,toy,Is a bee a toy? Answer only in yes or no.,No,yes,False
bee,animal,Is a bee an animal? Answer only in yes or no.,Yes,yes,True
bee,vehicle,Is a bee a vehicle? Answer only in yes or no.,No,yes,False
beer,drink,Is a beer a drink? Answer only in yes or no.,Yes,yes,True
beer,medical equipment,Is a beer a medical equipment? Answer only in yes or no.,No,yes,False
beet,food,Is a beet a food? Answer only in yes or no.,Yes,yes,True
beet,sea animal,Is a beet a sea animal? Answer only in yes or no.,No,yes,False
beet,vegetable,Is a beet a vegetable? Answer only in yes or no.,Yes,yes,True
beet,women's clothing,Is a beet a women's clothing? Answer only in yes or no.,No,yes,False
beetle,insect,Is a beetle an insect? Answer only in yes or no.,Yes,yes,True
beetle,candy,Is a beetle a candy? Answer only in yes or no.,No,yes,False
beetle,animal,Is a beetle an animal? Answer only in yes or no.,Yes,yes,True
beetle,vegetable,Is a beetle a vegetable? Answer only in yes or no.,No,yes,False
bell,musical instrument,Is a bell a musical instrument? Answer only in yes or no.,Yes,yes,True
bell,vegetable,Is a bell a vegetable? Answer only in yes or no.,No,yes,False
bell_pepper,food,Is a bell pepper a food? Answer only in yes or no.,Yes,yes,True
bell_pepper,breakfast food,Is a bell pepper a breakfast food? Answer only in yes or no.,No,yes,False
bell_pepper,vegetable,Is a bell pepper a vegetable? Answer only in yes or no.,Yes,yes,True
bell_pepper,protective clothing,Is a bell pepper a protective clothing? Answer only in yes or no.,No,yes,False
belt,clothing accessory,Is a belt a clothing accessory? Answer only in yes or no.,Yes,yes,True
belt,home appliance,Is a belt a home appliance? Answer only in yes or no.,No,yes,False
belt,clothing,Is a belt a clothing? Answer only in yes or no.,Yes,yes,True
belt,condiment,Is a belt a condiment? Answer only in yes or no.,No,yes,False
belt_buckle,clothing accessory,Is a belt buckle a clothing accessory? Answer only in yes or no.,Yes,yes,True
belt_buckle,scientific equipment,Is a belt buckle a scientific equipment? Answer only in yes or no.,No,yes,False
belt_buckle,fastener,Is a belt buckle a fastener? Answer only in yes or no.,Yes,yes,True
belt_buckle,farm animal,Is a belt buckle a farm animal? Answer only in yes or no.,No,yes,False
bench,furniture,Is a bench a furniture? Answer only in yes or no.,Yes,yes,True
bench,lighting,Is a bench a lighting? Answer only in yes or no.,No,yes,False
berry,food,Is a berry a food? Answer only in yes or no.,Yes,yes,True
berry,candy,Is a berry a candy? Answer only in yes or no.,No,yes,False
berry,fruit,Is a berry a fruit? Answer only in yes or no.,Yes,yes,True
berry,animal,Is a berry an animal? Answer only in yes or no.,No,yes,False
bike,vehicle,Is a bike a vehicle? Answer only in yes or no.,Yes,yes,True
bike,arts and crafts supply,Is a bike an arts and crafts supply? Answer only in yes or no.,No,yes,False
bikini,women's clothing,Is a bikini a women's clothing? Answer only in yes or no.,Yes,yes,True
bikini,sea animal,Is a bikini a sea animal? Answer only in yes or no.,No,yes,False
bikini,clothing,Is a bikini a clothing? Answer only in yes or no.,Yes,yes,True
bikini,body part,Is a bikini a body part? Answer only in yes or no.,No,yes,False
bin,container,Is a bin a container? Answer only in yes or no.,Yes,yes,True
bin,mammal,Is a bin a mammal? Answer only in yes or no.,No,yes,False
binder,office supply,Is a binder an office supply? Answer only in yes or no.,Yes,yes,True
binder,vehicle,Is a binder a vehicle? Answer only in yes or no.,No,yes,False
binder,school supply,Is a binder a school supply? Answer only in yes or no.,Yes,yes,True
binder,outerwear,Is a binder an outerwear? Answer only in yes or no.,No,yes,False
bird,bird,Is a bird a bird? Answer only in yes or no.,Yes,yes,True
bird,women's clothing,Is a bird a women's clothing? Answer only in yes or no.,No,yes,False
bird,animal,Is a bird an animal? Answer only in yes or no.,Yes,yes,True
bird,scientific equipment,Is a bird a scientific equipment? Answer only in yes or no.,No,yes,False
birdbath,home decor,Is a birdbath a home decor? Answer only in yes or no.,Yes,yes,True
birdbath,mammal,Is a birdbath a mammal? Answer only in yes or no.,No,yes,False
birdbath,container,Is a birdbath a container? Answer only in yes or no.,Yes,yes,True
birdbath,office supply,Is a birdbath an office supply? Answer only in yes or no.,No,yes,False
birdcage,home decor,Is a birdcage a home decor? Answer only in yes or no.,Yes,yes,True
birdcage,part of car,Is a birdcage a part of car? Answer only in yes or no.,No,yes,False
birdcage,container,Is a birdcage a container? Answer only in yes or no.,Yes,yes,True
birdcage,animal,Is a birdcage an animal? Answer only in yes or no.,No,yes,False
birdhouse,home decor,Is a birdhouse a home decor? Answer only in yes or no.,Yes,yes,True
birdhouse,clothing accessory,Is a birdhouse a clothing accessory? Answer only in yes or no.,No,yes,False
birthday_cake,food,Is a birthday cake a food? Answer only in yes or no.,Yes,yes,True
birthday_cake,body part,Is a birthday cake a body part? Answer only in yes or no.,No,yes,False
birthday_cake,dessert,Is a birthday cake a dessert? Answer only in yes or no.,Yes,yes,True
birthday_cake,weapon,Is a birthday cake a weapon? Answer only in yes or no.,No,yes,False
bison,mammal,Is a bison a mammal? Answer only in yes or no.,Yes,yes,True
bison,women's clothing,Is a bison a women's clothing? Answer only in yes or no.,No,yes,False
bison,animal,Is a bison an animal? Answer only in yes or no.,Yes,yes,True
bison,seafood,Is a bison a seafood? Answer only in yes or no.,No,yes,False
bison,farm animal,Is a bison a farm animal? Answer only in yes or no.,Yes,yes,True
bison,candy,Is a bison a candy? Answer only in yes or no.,No,yes,False
blackberry,food,Is a blackberry a food? Answer only in yes or no.,Yes,yes,True
blackberry,women's clothing,Is a blackberry a women's clothing? Answer only in yes or no.,No,yes,False
blackberry,fruit,Is a blackberry a fruit? Answer only in yes or no.,Yes,yes,True
blackberry,insect,Is a blackberry an insect? Answer only in yes or no.,No,yes,False
blazer,clothing,Is a blazer a clothing? Answer only in yes or no.,Yes,yes,True
blazer,home appliance,Is a blazer a home appliance? Answer only in yes or no.,No,yes,False
blazer,outerwear,Is a blazer an outerwear? Answer only in yes or no.,Yes,yes,True
blazer,home decor,Is a blazer a home decor? Answer only in yes or no.,No,yes,False
blender,kitchen appliance,Is a blender a kitchen appliance? Answer only in yes or no.,Yes,yes,True
blender,furniture,Is a blender a furniture? Answer only in yes or no.,No,yes,False
blender,electronic device,Is a blender an electronic device? Answer only in yes or no.,Yes,yes,True
blender,vehicle,Is a blender a vehicle? Answer only in yes or no.,No,yes,False
blender,home appliance,Is a blender a home appliance? Answer only in yes or no.,Yes,yes,True
blender,part of car,Is a blender a part of car? Answer only in yes or no.,No,yes,False
blouse,women's clothing,Is a blouse a women's clothing? Answer only in yes or no.,Yes,yes,True
blouse,medical equipment,Is a blouse a medical equipment? Answer only in yes or no.,No,yes,False
blouse,clothing,Is a blouse a clothing? Answer only in yes or no.,Yes,yes,True
blouse,home appliance,Is a blouse a home appliance? Answer only in yes or no.,No,yes,False
blower,electronic device,Is a blower an electronic device? Answer only in yes or no.,Yes,yes,True
blower,kitchen tool,Is a blower a kitchen tool? Answer only in yes or no.,No,yes,False
blower,tool,Is a blower a tool? Answer only in yes or no.,Yes,yes,True
blower,bird,Is a blower a bird? Answer only in yes or no.,No,yes,False
blower,home appliance,Is a blower a home appliance? Answer only in yes or no.,Yes,yes,True
blower,home decor,Is a blower a home decor? Answer only in yes or no.,No,yes,False
blowfish,seafood,Is a blowfish a seafood? Answer only in yes or no.,Yes,yes,True
blowfish,vegetable,Is a blowfish a vegetable? Answer only in yes or no.,No,yes,False
blowfish,animal,Is a blowfish an animal? Answer only in yes or no.,Yes,yes,True
blowfish,personal hygiene item,Is a blowfish a personal hygiene item? Answer only in yes or no.,No,yes,False
blowfish,sea animal,Is a blowfish a sea animal? Answer only in yes or no.,Yes,yes,True
blowfish,personal hygiene item,Is a blowfish a personal hygiene item? Answer only in yes or no.,No,yes,False
blowgun,weapon,Is a blowgun a weapon? Answer only in yes or no.,Yes,yes,True
blowgun,food,Is a blowgun a food? Answer only in yes or no.,No,yes,False
blowtorch,construction equipment,Is a blowtorch a construction equipment? Answer only in yes or no.,Yes,yes,True
blowtorch,vegetable,Is a blowtorch a vegetable? Answer only in yes or no.,No,yes,False
blowtorch,tool,Is a blowtorch a tool? Answer only in yes or no.,Yes,yes,True
blowtorch,breakfast food,Is a blowtorch a breakfast food? Answer only in yes or no.,No,yes,False
blowtorch,scientific equipment,Is a blowtorch a scientific equipment? Answer only in yes or no.,Yes,yes,True
blowtorch,kitchen appliance,Is a blowtorch a kitchen appliance? Answer only in yes or no.,No,yes,False
blowtorch,hardware,Is a blowtorch a hardware? Answer only in yes or no.,Yes,yes,True
blowtorch,candy,Is a blowtorch a candy? Answer only in yes or no.,No,yes,False
blowtorch,weapon,Is a blowtorch a weapon? Answer only in yes or no.,Yes,yes,True
blowtorch,outerwear,Is a blowtorch an outerwear? Answer only in yes or no.,No,yes,False
blueberry,food,Is a blueberry a food? Answer only in yes or no.,Yes,yes,True
blueberry,sports equipment,Is a blueberry a sports equipment? Answer only in yes or no.,No,yes,False
blueberry,fruit,Is a blueberry a fruit? Answer only in yes or no.,Yes,yes,True
blueberry,women's clothing,Is a blueberry a women's clothing? Answer only in yes or no.,No,yes,False
boa,women's clothing,Is a boa a women's clothing? Answer only in yes or no.,Yes,yes,True
boa,hardware,Is a boa a hardware? Answer only in yes or no.,No,yes,False
boa,clothing accessory,Is a boa a clothing accessory? Answer only in yes or no.,Yes,yes,True
boa,scientific equipment,Is a boa a scientific equipment? Answer only in yes or no.,No,yes,False
boa,clothing,Is a boa a clothing? Answer only in yes or no.,Yes,yes,True
boa,bird,Is a boa a bird? Answer only in yes or no.,No,yes,False
boar,mammal,Is a boar a mammal? Answer only in yes or no.,Yes,yes,True
boar,safety equipment,Is a boar a safety equipment? Answer only in yes or no.,No,yes,False
boar,animal,Is a boar an animal? Answer only in yes or no.,Yes,yes,True
boar,outerwear,Is a boar an outerwear? Answer only in yes or no.,No,yes,False
board_game,game,Is a board game a game? Answer only in yes or no.,Yes,yes,True
board_game,sea animal,Is a board game a sea animal? Answer only in yes or no.,No,yes,False
boat,vehicle,Is a boat a vehicle? Answer only in yes or no.,Yes,yes,True
boat,outerwear,Is a boat an outerwear? Answer only in yes or no.,No,yes,False
